page_title,total_views
Sale | Google Merchandise Store,80
Men's / Unisex | Apparel | Google Merchandise Store,72
Home,44
Stationery | Google Merchandise Store,32
Google | Shop by Brand | Google Merchandise Store,28
Small Goods | Lifestyle | Google Merchandise Store,28
Hats | Apparel | Google Merchandise Store,28
Drinkware | Lifestyle | Google Merchandise Store,24
Bags | Lifestyle | Google Merchandise Store,20
Apparel | Google Merchandise Store,20
Eco-Friendly | Google Merchandise Store,16
New | Google Merchandise Store,12
Google Leather Strap Hat Black,12
Kids | Apparel | Google Merchandise Store,12
Google Navy Speckled Tee,12
Google Stylus Pen w/ LED Light,8
Campus Collection | Google Merchandise Store,8
Lifestyle,8
Google Land & Sea Tech Taco,8
Google Bear Baby Blanket Beige,8
Google Jotter Task Pad,8
Google Campus Bike,8
Android Iconic Beanie,8
Google Phone Stand Bamboo,8
Google Land & Sea Journal Set,8
Noogler Android Figure 2019,8
YouTube Standards Zip Hoodie Black,8
Womens | Apparel | Google Merchandise Store,8
Google Flat Front Bag Grey,8
Google Toddler FC Zip Hoodie,4
Google Knit Blanket,4
Google Campus Bike Eco Tee Navy,4
Google Tee Yellow,4
Google Land & Sea Nalgene Water Bottle,4
Google Mural Socks,4
Android Garden Tee Orange,4
Google Bot,4
Google Mural Notebook,4
Google Emoji Sticker Pack,4
Google Pen White,4
The Google Merchandise Store/Malibu Sunglasses,4
Google Pride Sticker,4
Android Iconic Hat Green,4
Android | Shop by Brand | Google Merchandise Store,4
Google Heathered Pom Beanie,4
Google Youth FC Tee Charcoal,4
Google Land & Sea Cotton Cap,4
Super G Unisex Joggers,4
Store search results,4
YouTube Twill Sandwich Cap Black,4
Google Infant Hero Onesie Grey,4
Google Incognito Techpack V2,4
YouTube Leather Strap Hat Black,4
Google Incognito Flap Pack,4
Mommy Works at Google Book,4
Shop by Brand | Google Merchandise Store,4
Google Toddler Hero Tee Black,4
Google Cotopaxi Shell,4
Google Leather Strap Hat Blue,4
Google Perk Thermal Cup,4
Google Crew Socks,4
Google Kids Playful Tee,4
Stickers | Stationery | Google Merchandise Store,4
Google Utility BackPack,4
Google Heather Green Speckled Tee,4
Android Iconic Hat V.2 Black,4
YouTube Crew Socks,4
Android Pocket Youth Tee Navy,4
Mural Food Container,4
Google Super G Tumbler (Blue Lid),4
Android Iconic Hat White,4
Google Summer19 Crew Grey,4
Google Clear Framed Gray Shades,4
Google Felt Luggage Tag,4
Google Badge Heavyweight Pullover Black,4
Android Iconic Crew,4
